protein1 protein2 combined_score
362663.ECP_0036 362663.ECP_4000 248
362663.ECP_0036 362663.ECP_4355 216
362663.ECP_0036 362663.ECP_3384 292
362663.ECP_0036 362663.ECP_3432 272
362663.ECP_0036 362663.ECP_4785 256
362663.ECP_0036 362663.ECP_1081 292
362663.ECP_0036 362663.ECP_1601 292
362663.ECP_0036 362663.ECP_3405 293
362663.ECP_0036 362663.ECP_1642 302
362663.ECP_0036 362663.ECP_2118 256
362663.ECP_0036 362663.ECP_4198 292
362663.ECP_0036 362663.ECP_3401 293
362663.ECP_0036 362663.ECP_3394 293
362663.ECP_0036 362663.ECP_3385 293
362663.ECP_0036 362663.ECP_1555 179
